"BehaviorSpace results (NetLogo 6.0.2)"
"cv2.nlogo"
"experiment"
"02/28/2018 22:16:05:935 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-8","8"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12","13","13","14","14","15","15","16","16","17","17","18","18","19","19","20","20","21","21","22","22","23","23","24","24","25","25","26","26","27","27","28","28","29","29","30","30","31","31","32","32","33","33","34","34","35","35","36","36","37","37","38","38","39","39","40","40","41","41","42","42","43","43","44","44","45","45","46","46","47","47","48","48"
"playerA-strategy","""only stone""",,"""only stone""",,"""only stone""",,"""only stone""",,"""only stone""",,"""only stone""",,"""only stone""",,"""only stone""",,"""only stone""",,"""only stone""",,"""only stone""",,"""only stone""",,"""random""",,"""random""",,"""random""",,"""random""",,"""random""",,"""random""",,"""random""",,"""random""",,"""random""",,"""random""",,"""random""",,"""random""",,"""copy oponent""",,"""copy oponent""",,"""copy oponent""",,"""copy oponent""",,"""copy oponent""",,"""copy oponent""",,"""copy oponent""",,"""copy oponent""",,"""copy oponent""",,"""copy oponent""",,"""copy oponent""",,"""copy oponent""",,"""stone-scissors-paper""",,"""stone-scissors-paper""",,"""stone-scissors-paper""",,"""stone-scissors-paper""",,"""stone-scissors-paper""",,"""stone-scissors-paper""",,"""stone-scissors-paper""",,"""stone-scissors-paper""",,"""stone-scissors-paper""",,"""stone-scissors-paper""",,"""stone-scissors-paper""",,"""stone-scissors-paper""",
"playerB-strategy","""only stone""",,"""only stone""",,"""only stone""",,"""random""",,"""random""",,"""random""",,"""copy oponent""",,"""copy oponent""",,"""copy oponent""",,"""stone-scissors-paper""",,"""stone-scissors-paper""",,"""stone-scissors-paper""",,"""only stone""",,"""only stone""",,"""only stone""",,"""random""",,"""random""",,"""random""",,"""copy oponent""",,"""copy oponent""",,"""copy oponent""",,"""stone-scissors-paper""",,"""stone-scissors-paper""",,"""stone-scissors-paper""",,"""only stone""",,"""only stone""",,"""only stone""",,"""random""",,"""random""",,"""random""",,"""copy oponent""",,"""copy oponent""",,"""copy oponent""",,"""stone-scissors-paper""",,"""stone-scissors-paper""",,"""stone-scissors-paper""",,"""only stone""",,"""only stone""",,"""only stone""",,"""random""",,"""random""",,"""random""",,"""copy oponent""",,"""copy oponent""",,"""copy oponent""",,"""stone-scissors-paper""",,"""stone-scissors-paper""",,"""stone-scissors-paper""",
"[steps]","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000"

"[initial & final values]","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB","[ score ] of one-of playersA","[ score ] of one-of playersB"
,"0","0","0","0","0","0","16558","16789","16681","16552","16833","16309","0","0","0","0","0","0","16667","16666","16667","16666","16667","16666","16749","16567","16604","16614","16682","16770","16623","16547","16680","16619","16704","16525","16638","16818","16786","16557","16650","16502","16687","16619","16652","16837","16466","16740","0","0","0","0","0","0","16509","16667","16593","16766","16824","16629","0","0","0","0","0","0","49999","0","49999","0","49999","0","16666","16667","16666","16667","16666","16667","16629","16782","16552","16758","16694","16625","0","49999","0","49999","0","49999","0","0","0","0","0","0"
